117	4	1
117	69	0
4	117	0
4	116	0
4	115	1
116	4	1
116	16	0
16	116	1
16	53	0
16	30	0
115	4	0
115	23	1
23	115	0
23	97	1
23	96	1
114	6	1
114	48	0
6	114	0
6	113	1
113	6	0
113	26	1
26	113	0
26	69	1
26	87	1
112	1	1
112	106	0
1	112	0
1	111	0
1	110	1
106	112	1
106	33	0
111	1	1
111	101	0
101	111	1
101	22	0
110	1	0
110	9	1
9	110	0
9	5	1
109	37	1
109	35	0
37	109	0
37	79	1
37	58	0
35	109	1
35	19	1
35	79	0
108	21	1
108	91	0
21	108	0
21	42	0
21	34	1
107	89	1
107	39	0
89	107	0
89	42	1
89	95	0
89	53	0
39	107	1
39	20	0
39	62	0
105	14	1
105	63	0
14	105	0
14	36	0
14	28	1
63	105	1
63	15	0
63	18	0
104	68	1
104	76	0
68	104	0
68	54	1
68	81	0
103	73	1
103	75	0
73	103	0
73	45	1
73	8	1
73	28	0
75	103	1
75	17	0
75	76	0
102	61	1
102	90	0
61	102	0
61	77	0
61	82	1
90	102	1
90	8	0
90	51	0
90	44	0
22	101	1
22	40	0
22	48	1
100	49	1
100	80	0
49	100	0
49	66	1
49	11	0
80	100	1
80	66	0
80	71	0
99	36	1
99	92	0
36	14	1
36	99	0
36	32	0
92	99	1
92	3	0
92	60	0
92	70	0
98	32	1
98	3	0
32	36	1
32	98	0
32	29	1
32	88	1
32	34	0
97	23	0
97	12	1
12	97	0
12	52	0
12	57	1
96	23	0
96	42	1
42	21	1
42	89	0
42	96	0
95	89	1
95	2	0
2	95	1
2	67	0
94	53	1
94	29	0
53	16	1
53	89	1
53	94	0
53	82	0
29	32	0
29	94	1
93	52	1
93	88	0
52	12	1
52	93	0
52	41	1
52	50	0
88	32	0
88	93	1
17	75	1
17	58	0
17	85	0
76	104	1
76	75	1
76	24	1
76	13	1
76	45	0
24	76	0
24	19	1
24	46	0
19	35	0
19	24	0
19	25	1
19	64	1
13	76	0
13	91	0
13	51	1
45	73	0
45	76	1
45	10	0
8	73	0
8	90	1
8	59	1
79	37	0
79	35	1
41	52	0
41	72	1
72	41	0
72	43	1
72	10	0
34	21	0
34	32	1
34	58	1
34	91	1
34	20	1
58	37	1
58	17	1
58	34	0
91	108	1
91	13	1
91	34	0
91	84	0
91	81	0
91	27	1
20	39	1
20	34	0
74	67	1
74	87	0
67	2	1
67	74	0
67	69	0
40	22	1
40	86	0
25	19	0
25	7	1
64	19	0
64	60	1
64	48	0
86	40	1
86	38	0
30	16	1
30	78	0
51	90	1
51	13	0
5	9	0
5	50	1
66	49	0
66	80	1
47	11	1
47	60	0
11	49	1
11	47	0
11	83	1
11	3	1
33	106	1
33	71	1
33	7	0
71	80	1
71	33	0
71	31	1
43	72	0
43	31	1
31	71	0
31	43	0
31	18	1
83	11	0
3	92	1
3	98	1
3	11	0
69	117	1
69	26	0
69	67	1
54	68	0
54	44	0
54	78	1
57	12	0
57	62	1
57	46	0
62	39	1
62	57	0
62	56	1
65	77	1
65	15	0
77	61	1
77	65	0
15	63	1
15	65	1
15	78	0
15	46	0
84	91	1
55	38	1
55	59	0
38	86	1
38	55	0
44	90	1
44	54	1
44	81	0
7	25	0
7	33	1
7	59	1
59	8	0
59	55	1
59	7	0
28	14	0
28	73	1
87	26	0
87	74	1
60	92	1
60	64	0
60	47	1
81	68	1
81	91	1
81	44	1
81	56	0
18	63	1
18	31	0
56	62	0
56	81	1
82	61	0
82	53	1
78	30	1
78	54	0
78	15	1
46	24	1
46	57	1
46	15	1
46	70	0
50	52	1
50	5	0
48	114	1
48	22	0
48	64	1
48	10	0
10	45	1
10	72	1
10	48	1
10	27	0
27	91	0
27	10	1
70	92	1
70	46	1
70	85	0
85	17	1
85	70	1
